-.748	.140	-.408	-.501	-.325	-.455	-.475	-.643	-.754
-.724	.112	-.407	-.490	-.379	-.406	-.407	-.277	-.089
-.765	.100	-.362	-.453	-.325	-.307	-.235	.026	.242
-.792	.086	-.334	-.433	-.292	-.192	-.080	.194	.287
-.824	.094	-.319	-.400	-.205	-.073	.087	.284	.301
-.827	.061	-.265	-.335	-.123	.096	.248	.349	.249
-.827	.039	-.207	-.237	.004	.230	.356	.299	.141
-.799	-.009	-.117	-.090	.141	.344	.417	.196	-.068
-.758	-.039	-.035	.012	.232	.418	.390	.061	-.166
-.694	-.106	.064	.158	.336	.423	.262	-.060	-.204
-.637	-.157	.148	.266	.436	.365	.140	-.228	-.215
-.571	-.215	.227	.373	.455	.310	-.035	-.272	-.135
-.498	-.267	.295	.427	.425	.187	-.179	-.295	-.057
-.406	-.308	.356	.459	.372	.030	-.324	-.196	.065
-.332	-.386	.412	.490	.286	-.124	-.380	-.091	.197
-.251	-.416	.446	.451	.159	-.239	-.341	.025	.225
-.175	-.487	.461	.418	.050	-.350	-.280	.119	.187
-.092	-.527	.453	.366	-.065	-.375	-.164	.256	.120
-.012	-.564	.449	.300	-.213	-.387	-.010	.288	.018
.064	-.598	.421	.211	-.309	-.318	.144	.244	-.062
.160	-.640	.364	.111	-.378	-.218	.235	.166	-.135
.228	-.638	.313	.018	-.412	-.135	.297	.109	-.240
.277	-.640	.250	-.088	-.414	-.042	.292	-.008	-.209
.346	-.628	.148	-.180	-.373	.088	.289	-.130	-.146
.377	-.597	.060	-.232	-.327	.183	.231	-.208	-.097
.405	-.598	-.043	-.292	-.258	.276	.104	-.225	.000
.415	-.546	-.119	-.311	-.167	.310	.019	-.267	.078
.441	-.512	-.217	-.329	-.062	.344	-.112	-.209	.117
.436	-.455	-.296	-.341	.042	.335	-.174	-.134	.189
.436	-.402	-.368	-.310	.115	.324	-.240	-.045	.193
.431	-.349	-.451	-.270	.208	.225	-.297	.038	.185
.425	-.295	-.497	-.212	.285	.156	-.276	.149	.095
.421	-.210	-.554	-.127	.352	.045	-.245	.208	.025
.386	-.145	-.607	-.046	.379	-.049	-.183	.283	-.083
.360	-.058	-.614	.050	.383	-.153	-.080	.285	-.159
.327	.027	-.633	.135	.356	-.242	.005	.226	-.227
.287	.133	-.594	.223	.264	-.285	.110	.181	-.194
.248	.179	-.576	.281	.203	-.307	.202	.059	-.164
.227	.255	-.527	.369	.134	-.299	.256	-.029	-.141
.204	.276	-.487	.408	.046	-.256	.250	-.104	-.057
.179	.361	-.416	.444	-.086	-.184	.248	-.162	.015
.173	.391	-.350	.457	-.157	-.101	.226	-.204	.119
.153	.439	-.300	.490	-.220	-.007	.187	-.212	.184
.140	.480	-.224	.476	-.294	.039	.097	-.205	.189
.141	.487	-.123	.449	-.348	.117	.009	-.199	.216
.145	.509	-.028	.388	-.374	.205	-.050	-.139	.170
.140	.524	.060	.315	-.381	.278	-.150	-.030	.151
.131	.547	.129	.256	-.359	.289	-.207	.063	.050
.159	.553	.238	.155	-.330	.321	-.243	.131	-.015
.174	.543	.301	.070	-.248	.289	-.252	.189	-.127
.166	.544	.386	-.024	-.176	.258	-.245	.254	-.218
.202	.550	.455	-.132	-.055	.183	-.195	.265	-.277
.220	.527	.480	-.216	.016	.099	-.134	.226	-.257
.213	.493	.516	-.320	.112	.040	-.086	.197	-.222
.213	.458	.518	-.366	.186	-.037	.000	.118	-.128
.256	.439	.538	-.429	.266	-.130	.109	.016	-.009
.241	.397	.524	-.462	.315	-.201	.120	-.080	.056
.248	.390	.525	-.481	.367	-.268	.206	-.212	.209
.274	.346	.501	-.468	.384	-.322	.256	-.297	.266
.260	.312	.437	-.449	.343	-.348	.285	-.342	.316
